tsec,tnsec,seqNo,id,type,side,bid0,bid1,bid2,bid3,bid4,bid_size0,bid_size1,bid_size2,bid_size3,bid_size4,ask0,ask1,ask2,ask3,ask4,ask_size0,ask_size1,ask_size2,ask_size3,ask_size4
1780861691,95375660,293,1747767916,D,N,6123139000000,6123138000000,6123137000000,6123115000000,6123114000000,195029000,35000,17000,18000,7592000,6123140000000,6123141000000,6123142000000,6123163000000,6123168000000,15096000,98000,17000,476000,9000
1780861691,195417522,294,1747767916,5,N,6123139000000,6123138000000,6123137000000,6123115000000,6123114000000,195029000,35000,17000,18000,7592000,6123140000000,6123141000000,6123142000000,6123163000000,6123168000000,15096000,98000,17000,476000,9000
1780861691,195460730,295,1747767916,D,N,6123139000000,6123138000000,6123137000000,6123115000000,6123114000000,195029000,35000,17000,18000,7592000,6123140000000,6123141000000,6123142000000,6123163000000,6123168000000,15096000,98000,17000,476000,9000
1780861691,293380624,296,1747767916,5,N,6123139000000,6123138000000,6123137000000,6123114000000,6123101000000,195029000,35000,17000,7592000,47844000,6123140000000,6123141000000,6123142000000,6123163000000,6123168000000,160000,89000,17000,476000,9000
1780861691,293429918,297,1747767916,D,N,6123139000000,6123138000000,6123137000000,6123114000000,6123101000000,195029000,35000,17000,7592000,47844000,6123140000000,6123141000000,6123142000000,6123163000000,6123168000000,160000,89000,17000,476000,9000
1780861691,393230741,298,1747767916,5,N,6123139000000,6123138000000,6123137000000,6123114000000,6123101000000,194962000,35000,17000,7592000,47844000,6123140000000,6123141000000,6123142000000,6123163000000,6123168000000,124000,80000,17000,476000,9000
1780861691,393314554,299,1747767916,D,N,6123139000000,6123138000000,6123137000000,6123114000000,6123101000000,194962000,35000,17000,7592000,47844000,6123140000000,6123141000000,6123142000000,6123163000000,6123168000000,124000,80000,17000,476000,9000
1780861691,492873779,300,1747767916,5,N,6123139000000,6123138000000,6123137000000,6123114000000,6123101000000,196268000,35000,17000,7592000,47844000,6123140000000,6123141000000,6123142000000,6123163000000,6123168000000,124000,80000,17000,476000,9000
1780861691,492959775,301,1747767916,D,N,6123139000000,6123138000000,6123137000000,6123114000000,6123101000000,196268000,35000,17000,7592000,47844000,6123140000000,6123141000000,6123142000000,6123163000000,6123168000000,124000,80000,17000,476000,9000
1780861691,593892574,302,1747767916,5,N,6123139000000,6123138000000,6123137000000,6123114000000,6123101000000,196268000,35000,17000,7592000,18000,6123140000000,6123141000000,6123142000000,6123163000000,6123168000000,124000,80000,17000,476000,9000
1780861691,593969364,303,1747767916,D,N,6123139000000,6123138000000,6123137000000,6123114000000,6123101000000,196268000,35000,17000,7592000,18000,6123140000000,6123141000000,6123142000000,6123163000000,6123168000000,124000,80000,17000,476000,9000
1780861691,694069563,304,1747767916,5,N,6123167000000,6123166000000,6123165000000,6123163000000,6123162000000,627921000,35000,17000,60201000,590000,6123168000000,6123169000000,6123176000000,6123348000000,6123388000000,99000,54000,9000,9000,9000
1780861691,694136135,305,1747767916,D,N,6123167000000,6123166000000,6123165000000,6123163000000,6123162000000,627921000,35000,17000,60201000,590000,6123168000000,6123169000000,6123176000000,6123348000000,6123388000000,99000,54000,9000,9000,9000
1780861691,792916798,306,1747767916,5,N,6123167000000,6123166000000,6123165000000,6123163000000,6123162000000,684006000,35000,17000,60219000,590000,6123168000000,6123169000000,6123176000000,6123348000000,6123388000000,99000,54000,9000,9000,9000
1780861691,792944327,307,1747767916,D,N,6123167000000,6123166000000,6123165000000,6123163000000,6123162000000,684006000,35000,17000,60219000,590000,6123168000000,6123169000000,6123176000000,6123348000000,6123388000000,99000,54000,9000,9000,9000
