recv_tsec,recv_tnsec,venue,stream_kind,shard_id,conn_epoch,conn_seq,symbol,payload_json
1780861677,867708363,spot,depth5,0,0,21,BTCUSDT,"{""lastUpdateId"":95286421691,""bids"":[[""61222.00000000"",""0.57795000""],[""61221.99000000"",""0.00107000""],[""61221.98000000"",""0.00017000""],[""61221.16000000"",""0.00009000""],[""61221.03000000"",""0.00018000""]],""asks"":[[""61222.01000000"",""2.08228000""],[""61222.02000000"",""0.00044000""],[""61222.03000000"",""0.00017000""],[""61222.54000000"",""0.00027000""],[""61223.11000000"",""0.07604000""]]}"
1780861677,867712462,spot,depth_diff,0,0,22,BTCUSDT,"{""e"":""depthUpdate"",""E"":1780861678314,""s"":""BTCUSDT"",""U"":95286421671,""u"":95286421691,""b"":[[""61203.77000000"",""0.00000000""],[""61202.11000000"",""0.00200000""],[""60500.00000000"",""27.25853000""],[""55099.80000000"",""0.00510000""],[""55099.00000000"",""0.11020000""],[""48977.60000000"",""0.00000000""]],""a"":[[""61225.71000000"",""0.07836000""],[""61225.83000000"",""0.00000000""],[""61228.01000000"",""0.10045000""],[""61238.85000000"",""0.00200000""],[""61240.51000000"",""0.00000000""]]}"
1780861677,867720068,spot,trade,0,0,23,BTCUSDT,"{""e"":""trade"",""E"":1780861678377,""s"":""BTCUSDT"",""t"":6383873127,""p"":""61222.01000000"",""q"":""0.00011000"",""T"":1780861678377,""m"":false,""M"":true}"
1780861677,867723073,spot,depth5,0,0,24,BTCUSDT,"{""lastUpdateId"":95286421722,""bids"":[[""61222.00000000"",""0.76191000""],[""61221.99000000"",""0.00107000""],[""61221.98000000"",""0.00017000""],[""61221.16000000"",""0.00009000""],[""61221.03000000"",""0.00018000""]],""asks"":[[""61222.01000000"",""2.08235000""],[""61222.02000000"",""0.00062000""],[""61222.03000000"",""0.00017000""],[""61222.54000000"",""0.00027000""],[""61223.10000000"",""0.00018000""]]}"
1780861677,868676432,spot,depth_diff,0,0,25,BTCUSDT,"{""e"":""depthUpdate"",""E"":1780861678414,""s"":""BTCUSDT"",""U"":95286421692,""u"":95286421722,""b"":[[""61222.00000000"",""0.76191000""],[""61216.02000000"",""0.07048000""],[""61203.69000000"",""0.00400000""],[""61203.23000000"",""0.00000000""],[""60426.11000000"",""0.00826000""],[""60303.67000000"",""0.01652000""],[""59997.56000000"",""0.00830000""],[""55099.80000000"",""0.00490000""],[""55099.00000000"",""0.11000000""]],""a"":[[""61222.01000000"",""2.08235000""],[""61222.02000000"",""0.00062000""],[""61223.10000000"",""0.00018000""],[""61224.20000000"",""0.00018000""],[""61225.30000000"",""0.00018000""],[""61226.34000000"",""0.00018000""],[""61233.38000000"",""0.00400000""],[""61234.85000000"",""0.00000000""],[""61238.28000000"",""0.00000000""]]}"
1780861677,869053165,spot,depth5,0,0,26,BTCUSDT,"{""lastUpdateId"":95286421824,""bids"":[[""61222.00000000"",""1.03307000""],[""61221.99000000"",""0.00125000""],[""61221.98000000"",""0.00017000""],[""61221.50000000"",""0.04105000""],[""61221.16000000"",""0.00009000""]],""asks"":[[""61222.01000000"",""1.81253000""],[""61222.02000000"",""0.00080000""],[""61222.03000000"",""0.00017000""],[""61222.54000000"",""0.00027000""],[""61223.10000000"",""0.00018000""]]}"
1780861677,869075301,spot,depth_diff,0,0,27,BTCUSDT,"{""e"":""depthUpdate"",""E"":1780861678514,""s"":""BTCUSDT"",""U"":95286421723,""u"":95286421824,""b"":[[""61222.00000000"",""1.03307000""],[""61221.99000000"",""0.00125000""],[""61221.50000000"",""0.04105000""],[""61220.68000000"",""0.67635000""],[""61218.71000000"",""0.00018000""],[""61218.70000000"",""0.07587000""],[""61218.26000000"",""0.00000000""],[""61218.25000000"",""0.00018000""],[""61218.15000000"",""0.00018000""],[""61218.14000000"",""0.05124000""],[""61218.01000000"",""0.00018000""],[""61218.00000000"",""0.07587000""],[""61217.99000000"",""0.34451000""],[""61217.64000000"",""0.00326000""],[""61216.50000000"",""0.07578000""],[""61216.03000000"",""0.00000000""],[""61216.01000000"",""0.04123000""],[""61216.00000000"",""0.29736000""],[""61215.57000000"",""0.07054000""],[""61214.31000000"",""0.00000000""],[""61214.12000000"",""0.00080000""],[""61213.12000000"",""0.00000000""],[""61212.59000000"",""0.00000000""],[""61211.45000000"",""0.00009000""],[""61209.37000000"",""0.07578000""],[""61208.08000000"",""0.07578000""],[""61199.57000000"",""0.00000000""],[""61198.79000000"",""0.00400000""],[""61197.51000000"",""0.00306000""],[""61185.26000000"",""0.00000000""],[""55099.80000000"",""0.00490000""],[""48977.60000000"",""0.00040000""]],""a"":[[""61222.01000000"",""1.81253000""],[""61222.02000000"",""0.00080000""],[""61224.43000000"",""0.00018000""],[""61224.44000000"",""0.04757000""],[""61225.70000000"",""0.00000000""],[""61225.71000000"",""0.00018000""],[""61226.34000000"",""0.00000000""],[""61226.40000000"",""0.00009000""],[""61228.27000000"",""1.86342000""],[""61228.28000000"",""0.00018000""],[""61230.82000000"",""1.86042000""],[""61230.84000000"",""0.00000000""],[""61233.01000000"",""0.07578000""],[""61233.73000000"",""1.86042000""],[""61233.75000000"",""0.00000000""],[""61234.85000000"",""3.26679000""],[""61234.86000000"",""0.07611000""],[""61236.23000000"",""0.07578000""],[""61237.41000000"",""0.07578000""],[""61237.94000000"",""0.07578000""],[""61238.66000000"",""0.07578000""],[""61240.71000000"",""0.00400000""],[""61241.88000000"",""0.00000000""],[""61246.50000000"",""0.00000000""],[""61258.75000000"",""0.00306000""]]}"
1780861677,869104001,spot,depth5,0,0,28,BTCUSDT,"{""lastUpdateId"":95286421934,""bids"":[[""61222.00000000"",""1.03422000""],[""61221.99000000"",""0.00125000""],[""61221.98000000"",""0.00017000""],[""61221.50000000"",""0.00018000""],[""61221.16000000"",""0.00009000""]],""asks"":[[""61222.01000000"",""1.56490000""],[""61222.02000000"",""0.00071000""],[""61222.03000000"",""0.00017000""],[""61222.54000000"",""0.00027000""],[""61223.10000000"",""0.00018000""]]}"
1780861677,869115502,spot,depth_diff,0,0,29,BTCUSDT,"{""e"":""depthUpdate"",""E"":1780861678614,""s"":""BTCUSDT"",""U"":95286421825,""u"":95286421934,""b"":[[""61222.00000000"",""1.03422000""],[""61221.99000000"",""0.00125000""],[""61221.51000000"",""0.00000000""],[""61221.50000000"",""0.00018000""],[""61220.68000000"",""0.67635000""],[""61220.00000000"",""0.00096000""],[""61218.71000000"",""0.00000000""],[""61218.70000000"",""0.00027000""],[""61218.25000000"",""0.00000000""],[""61218.14000000"",""0.05142000""],[""61218.01000000"",""0.00009000""],[""61218.00000000"",""0.00036000""],[""61217.99000000"",""0.34442000""],[""61216.92000000"",""0.00818000""],[""61216.50000000"",""0.00000000""],[""61216.03000000"",""0.00009000""],[""61216.02000000"",""0.07030000""],[""61216.01000000"",""0.04105000""],[""61216.00000000"",""0.29718000""],[""61214.30000000"",""0.00009000""],[""61209.37000000"",""0.00000000""],[""61208.08000000"",""0.00000000""],[""55099.80000000"",""0.00490000""],[""48977.60000000"",""0.00000000""]],""a"":[[""61222.01000000"",""1.56490000""],[""61222.02000000"",""0.00071000""],[""61224.20000000"",""0.00018000""],[""61224.21000000"",""0.07604000""],[""61224.43000000"",""0.00018000""],[""61224.44000000"",""0.04775000""],[""61225.30000000"",""0.00000000""],[""61225.31000000"",""0.07488000""],[""61225.71000000"",""0.00000000""],[""61226.40000000"",""0.00000000""],[""61228.01000000"",""0.10045000""],[""61228.27000000"",""1.86360000""],[""61228.28000000"",""0.00000000""],[""61233.72000000"",""0.07578000""],[""61233.74000000"",""0.00000000""],[""61234.86000000"",""0.00033000""],[""61236.23000000"",""0.00000000""],[""61237.41000000"",""0.00000000""],[""61237.94000000"",""0.00000000""],[""61238.66000000"",""0.00000000""],[""61305.56000000"",""0.02558000""],[""61373.52000000"",""0.00000000""]]}"
1780861677,869137046,spot,depth5,0,0,30,BTCUSDT,"{""lastUpdateId"":95286421976,""bids"":[[""61222.00000000"",""1.03422000""],[""61221.99000000"",""0.00125000""],[""61221.98000000"",""0.00017000""],[""61221.16000000"",""0.00009000""],[""61221.03000000"",""0.00018000""]],""asks"":[[""61222.01000000"",""1.56499000""],[""61222.02000000"",""0.00080000""],[""61222.03000000"",""0.00017000""],[""61222.54000000"",""0.00027000""],[""61223.10000000"",""0.00018000""]]}"
